18
60	219	2	2	0	0	4.27088
2	216	61	2	0	0	4.83948
109	210	69	1	1	0	4.8257
66	200	82	0	1	1	4.68464
152	232	57	0	1	1	5.0144
202	183	93	0	1	1	4.77735
256	230	61	1	0	1	4.97168
269	132	117	0	1	1	4.91597
218	238	55	0	1	1	5.05782
150	236	60	2	0	0	5.05803
169	232	65	0	0	2	5.12583
297	235	62	0	2	0	5.25799
116	145	117	0	0	2	5.07375
61	192	106	0	0	2	4.96152
208	190	101	1	1	0	4.82359
212	187	108	0	2	0	4.96764
40	190	109	1	1	0	4.96069
97	241	64	2	0	0	5.10659

nv	12	12	12

Vehicles departing from depots at the previous stage:
