19
243	145	110	1	1	0	5.0274
27	168	106	2	0	0	5.18942
205	188	113	2	0	0	5.25711
266	183	119	0	0	1	4.91154
80	174	124	0	1	1	5.98018
223	211	114	0	0	2	5.4825
29	232	97	1	1	0	5.94631
7	226	99	0	1	1	5.66835
90	168	125	1	1	0	5.4091
20	243	106	1	1	0	5.48418
120	172	148	0	0	2	5.58
172	172	151	0	1	1	5.69893
227	241	120	0	0	2	5.69
256	214	119	0	1	1	5.7916
218	246	121	0	2	0	5.82
110	187	133	1	1	0	5.87
196	220	131	0	1	1	5.91
9	228	136	2	0	0	5.97488
248	218	23	1	0	0	4.44211

nv	12	12	12

Vehicles departing from depots at the previous stage:
248	218	23	1	0	0	4.44211
