14
175	192	191	0	2	0	6.91463
200	172	206	2	0	0	7.0614
205	195	219	0	1	1	7.73417
69	163	196	0	1	0	6.95199
177	190	224	1	0	1	7.94435
232	162	199	1	0	1	7.97307
140	190	226	0	1	1	7.9567
10	157	189	0	1	1	7.95828
271	162	200	0	0	2	7.96681
26	178	128	1	1	0	5.98451
24	179	130	1	1	0	5.99595
209	171	123	0	0	2	5.92499
135	166	152	1	1	0	5.87
38	186	136	2	0	0	5.97

nv	9	9	9

Vehicles departing from depots at the previous stage:
26	178	128	1	1	0	5.98451
24	179	130	1	1	0	5.99595
209	171	123	0	0	2	5.92499
135	166	152	1	1	0	5.87
38	186	136	2	0	0	5.97
