1	238	126	10	1	5.77	6.77	0.00	20.00	0.00	20.00	5.77	6.77	0		2		0		
14	235	124	30	1	5.69	6.69	0.00	20.00	0.00	20.00	5.69	6.69	2		0		0		
25	194	134	10	1	5.67	6.01	5.01	6.01	5.67	6.67	0.00	20.00	1		0		1		
27	237	93	10	1	5.04	6.04	0.00	20.00	0.00	20.00	5.04	6.04	2		0		0		
29	235	92	40	1	5.00	6.00	0.00	20.00	0.00	20.00	5.00	6.00	1		1		0		
46	179	135	20	1	5.13	6.13	5.13	6.13	0.00	20.00	0.00	20.00	0		2		0		
82	236	131	20	1	5.85	6.85	0.00	20.00	0.00	20.00	5.85	6.85	0		1		1		
84	179	140	40	1	5.24	6.24	5.24	6.24	0.00	20.00	0.00	20.00	1		0		1		
104	171	133	40	1	5.30	6.30	5.30	6.30	0.00	20.00	0.00	20.00	0		0		2		
111	237	116	40	1	5.54	6.54	0.00	20.00	0.00	20.00	5.54	6.54	0		2		0		
119	172	152	40	1	5.66	6.66	5.66	6.66	0.00	20.00	0.00	20.00	2		0		0		
159	172	149	30	1	5.60	6.60	5.60	6.60	0.00	20.00	0.00	20.00	0		1		1		
168	228	114	10	1	5.46	6.31	0.00	20.00	5.31	6.31	5.46	6.46	0		0		2		
