14
242	183	93	0	2	0	4.97367
8	214	96	0	2	0	5.21871
47	173	122	0	1	1	5.94237
101	173	126	0	2	0	5.09
139	220	108	2	0	0	5.95465
244	164	125	0	0	2	5.96454
143	239	109	0	0	2	5.83599
154	217	110	1	1	0	5.78109
271	161	135	1	0	1	5.95185
216	112	113	1	0	0	4.59688
227	216	61	0	0	2	4.77791
142	210	69	2	0	0	4.87844
222	211	72	0	1	1	4.90903
224	171	98	2	0	0	4.97474

nv	9	9	9

Vehicles departing from depots at the previous stage:
216	112	113	1	0	0	4.59688
227	216	61	0	0	2	4.77791
142	210	69	2	0	0	4.87844
222	211	72	0	1	1	4.90903
224	171	98	2	0	0	4.97474
