16	224	117	40	1	5.55	6.26	0.00	20.00	5.26	6.26	5.55	6.55	0		0		2		
38	204	136	10	1	5.53	6.22	5.22	6.22	5.53	6.53	0.00	20.00	0		1		1		
41	179	130	10	1	5.02	6.02	5.02	6.02	0.00	20.00	0.00	20.00	2		0		0		
67	207	123	30	1	5.23	6.02	5.02	6.02	5.23	6.23	0.00	20.00	1		0		1		
84	179	139	10	1	5.21	6.21	5.21	6.21	0.00	20.00	0.00	20.00	0		0		2		
108	238	110	20	1	5.42	6.42	0.00	20.00	0.00	20.00	5.42	6.42	1		0		1		
122	207	127	20	1	5.31	6.11	5.11	6.11	5.31	6.31	0.00	20.00	2		0		0		
124	230	133	30	1	5.87	6.77	0.00	20.00	5.77	6.77	5.87	6.87	1		1		0		
125	225	127	40	1	5.76	6.50	0.00	20.00	5.50	6.50	5.76	6.76	0		0		2		
131	178	141	10	1	5.28	6.28	5.28	6.28	0.00	20.00	0.00	20.00	0		2		0		
137	219	134	30	1	5.99	6.52	0.00	20.00	5.52	6.52	5.99	6.99	0		1		1		
141	198	141	20	1	5.73	6.21	5.21	6.21	5.73	6.73	0.00	20.00	1		1		0		
150	197	143	40	1	5.79	6.24	5.24	6.24	5.79	6.79	0.00	20.00	0		2		0		
166	232	100	10	1	5.16	6.16	0.00	20.00	0.00	20.00	5.16	6.16	0		1		1		
167	230	131	10	1	5.83	6.73	0.00	20.00	5.73	6.73	5.83	6.83	0		1		1		
170	207	125	20	1	5.27	6.07	5.07	6.07	5.27	6.27	0.00	20.00	0		2		0		
184	188	139	20	1	5.96	6.11	5.11	6.11	5.96	6.96	0.00	20.00	0		2		0		
200	243	117	20	1	5.66	6.66	0.00	20.00	0.00	20.00	5.66	6.66	1		0		1		
214	168	151	10	1	5.77	6.77	5.77	6.77	0.00	20.00	0.00	20.00	0		2		0		
224	238	124	20	1	5.73	6.73	0.00	20.00	0.00	20.00	5.73	6.73	1		1		0		
241	244	109	10	1	5.51	6.51	0.00	20.00	0.00	20.00	5.51	6.51	1		1		0		
